User_ID,Target_User_ID,Rating
1,43499,1
1,3899,3
1,1397,1
1,23674,3
1,8497,3
1,17687,3
1,46213,3
1,43179,1
1,42277,3
1,42309,3
1,6336,3
1,34239,3
1,21890,1
1,7561,1
1,22215,3
1,40342,1
1,36305,3
1,44206,1
1,15400,1
1,15202,3
2,35855,1
2,26300,3
2,4125,1
2,43814,1
2,45833,1
2,25870,1
2,7439,1
2,24942,3
2,41034,1
2,25259,1
2,26818,1
2,16565,1
2,456,3
2,1482,1
2,14942,1
2,13759,1
2,25878,1
2,6274,1
2,23228,1
2,37223,3
3,18188,2
3,46249,1
3,16789,1
3,30285,3
3,24692,2
3,19482,3
3,36235,1
3,3052,1
3,39775,3
3,3318,2
3,41395,1
3,38202,2
3,39274,1
3,43329,2
3,24876,3
3,49984,1
3,28998,3
3,11053,2
3,3221,3
3,39855,3
4,37692,2
4,20237,2
4,25476,2
4,35609,2
4,5335,2
4,35010,2
4,33337,2
4,9846,2
4,23312,2
4,27155,2
4,25001,2
4,49887,2
4,30528,2
4,25635,2
4,30025,2
4,40846,2
4,43339,2
4,34325,2
4,32051,2
4,17100,2
5,41955,3
5,15075,3
5,41261,3
5,33364,1
5,6940,3
5,38135,1
5,39428,1
5,32699,3
5,1093,3
5,6509,3
5,22190,3
5,6825,3
5,12179,3
5,11417,1
5,17338,3
5,13204,1
5,27972,1
5,40966,3
5,44279,3
5,27466,3
6,1731,1
6,12099,3
6,48044,1
6,16333,3
6,21849,3
6,42580,3
6,51071,1
6,10225,3
6,37191,1
6,34961,3
6,26518,3
6,26009,1
6,47128,1
6,44432,3
6,11890,1
6,43744,3
6,14033,3
6,6736,1
6,33457,1
6,25938,1
7,20070,1
7,39586,1
7,1347,1
7,21237,1
7,48339,1
7,39639,1
7,31690,1
7,46564,3
7,44524,1
7,36244,3
7,31412,3
7,15871,1
7,6657,1
7,15047,3
7,50244,1
7,32006,1
7,30304,1
7,42621,1
7,35714,1
7,48724,1
8,6115,2
8,36678,3
8,22114,2
8,39511,1
8,5274,2
8,10391,2
8,174,1
8,38997,1
8,45437,2
8,15218,2
8,33970,3
8,8877,2
8,9773,2
8,51092,1
8,40326,3
8,48258,1
8,50452,3
8,136,3
8,42308,3
8,18635,2
9,25297,2
9,10822,2
9,41026,2
9,35874,2
9,18615,2
9,27512,2
9,9289,2
9,27199,2
9,39359,2
9,33324,2
9,11545,2
9,51118,2
9,26477,2
9,18564,2
9,32211,2
9,24069,2
9,50053,2
9,16409,2
9,30612,2
9,28946,2
